p1,p2,p3,p4,p5,p6
ザシアン,サンダー電,ウインディ,ウーラオス悪,ガマゲロゲ,ヒヒダルマ氷
ザシアン,ランドロス霊,パッチラゴン,ウーラオス悪,ポリゴン２,ミロカロス
カバルドン,サンダー電,ザシアン,ズガドーン,ウーラオス悪,ウオノラゴン
ザシアン,ラグラージ,ミミッキュ,ウーラオス悪,ロトム水,ヒヒダルマ氷
ザシアン,ラプラス,サンダー電,ウーラオス悪,ハピナス,ヌオー
ネクロズマ日,サンダー電,マンムー,ミミッキュ,ウーラオス悪,マリルリ
バドレックス白,ガオガエン,カプ・コケコ,ランドロス霊,ウーラオス悪,ミミッキュ
ムゲンダイナ,テッカグヤ,サンダー電,ラッキー,ウーラオス悪,メタモン
サンダー電,ザシアン,ウーラオス悪,ラプラス,バンギラス,ヌオー
ウオノラゴン,ラグラージ,ラプラス,ウーラオス悪,ロトム炎,ザシアン
ゼルネアス,クレッフィ,ウーラオス悪,エースバーン,ランドロス霊,ラティアス
レシラム,サンダー電,ポリゴン２,ウオノラゴン,ウーラオス悪,ミミッキュ
バドレックス黒,カバルドン,ドリュウズ,ウーラオス悪,ウオノラゴン,サンダー電
ゼルネアス,クレッフィ,ランクルス,サンダー電,ウーラオス悪,ガブリアス
バドレックス白,ドヒドイデ,ランドロス霊,ロトム炎,ウーラオス悪,カプ・レヒレ
バドレックス黒,サンダー電,エースバーン,ウーラオス悪,ポリゴン２,トリトドン
ザシアン,ミミッキュ,ウーラオス悪,カバルドン,サンダー電,バシャーモ
ラプラス,ザシアン,カイリュー,ウーラオス悪,サンダー電,カバルドン
ムゲンダイナ,ラプラス,ヌオー,エースバーン,ウーラオス悪,テッカグヤ
バドレックス黒,サンダー電,ヒードラン,ウーラオス悪,ランドロス霊,ブリザポス
ザシアン,ポリゴン２,エースバーン,ウーラオス悪,サンダー電,ゴチルゼル
バドレックス黒,サンダー電,ランドロス霊,ナットレイ,バンギラス,ウーラオス悪
ウーラオス悪,ロトム水,エースバーン,ムゲンダイナ,ミミッキュ,カビゴン
カイオーガ,ゴリランダー,サンダー電,ドラパルト,ドリュウズ,ウーラオス悪
マリルリ,キュレム白,ランドロス霊,ヒードラン,カプ・コケコ,ウーラオス悪
ザシアン,サンダー電,ウーラオス悪,ドラパルト,ポリゴン２,ラグラージ
エースバーン,ウーラオス悪,ザシアン,ラグラージ,サンダー電,ドラパルト
ジガルデ,サンダー電,カプ・レヒレ,エースバーン,ウーラオス悪,メタモン
ネクロズマ日,ラグラージ,サンダー電,カイリュー,ウーラオス悪,ミミッキュ
ムゲンダイナ,ロトム水,ウーラオス悪,ランドロス霊,サンダー電,ブリザポス
バドレックス黒,ウーラオス悪,ウオノラゴン,サンダー電,ヒードラン,ミミッキュ
バドレックス黒,サンダー電,マリルリ,ドサイドン,ウーラオス悪,カイリュー
コータス,ミミッキュ,イベルタル,ウーラオス悪,ラッキー,ヌオー
エースバーン,サンダー電,ムゲンダイナ,ランドロス霊,ウーラオス悪,ミミッキュ
カイオーガ,ウーラオス悪,レジエレキ,サンダー電,ランドロス化,ウオノラゴン
カバルドン,ザシアン,サンダー電,カビゴン,ラプラス,ウーラオス悪
カイオーガ,サンダー電,ナットレイ,ランドロス霊,ミミッキュ,ウーラオス悪
ネクロズマ日,サンダー電,ウオノラゴン,ウーラオス悪,ヒヒダルマ氷,カバルドン
ザシアン,サンダー電,カバルドン,エースバーン,ウーラオス悪,ラプラス
カイオーガ,サンダー電,ナットレイ,ガブリアス,ウーラオス悪,ミミッキュ
ザシアン,ラグラージ,サンダー電,ドラパルト,ウーラオス悪,ヒードラン
ネクロズマ日,ラグラージ,ウーラオス悪,ミミッキュ,サンダー電,メタモン
ネクロズマ日,カイリュー,サンダー電,ラグラージ,ウーラオス悪,ミミッキュ
カイオーガ,エースバーン,ランドロス霊,ウーラオス悪,カプ・コケコ,ドラパルト
ザシアン,ウーラオス悪,ニンフィア,サンダー電,ラグラージ,ナットレイ
ザシアン,ラプラス,サンダー電,ドサイドン,エンテイ,ウーラオス悪
ネクロズマ日,バシャーモ,マンムー,サンダー電,パッチラゴン,ウーラオス悪
サンダー電,カイオーガ,ナットレイ,ランドロス霊,バンギラス,ウーラオス悪
ザシアン,サンダー電,ヌオー,ラッキー,バンギラス,ウーラオス悪
キュレム黒,カバルドン,ドリュウズ,サンダー電,カプ・レヒレ,ウーラオス悪
ヒヒダルマ氷,リザードン,グラードン,ボーマンダ,ウーラオス悪,カミツルギ
ムゲンダイナ,エースバーン,ウーラオス悪,メタモン,サンダー電,ラッキー
ラプラス,ザシアン,ウーラオス悪,サンダー電,バンギラス,ヌオー
カイオーガ,サンダー電,カイリュー,ウーラオス悪,ドリュウズ,ランクルス
バドレックス黒,サンダー電,ナットレイ,ウーラオス悪,ミミッキュ,カバルドン
タチフサグマ,ペンドラー,ウーラオス悪,ゴチルゼル,ガマゲロゲ,ネクロズマ日
ミミッキュ,ネクロズマ日,ウーラオス悪,オーロンゲ,サンダー電,ランドロス霊
カイオーガ,ゴリランダー,サンダー電,ドラパルト,ドリュウズ,ウーラオス悪
エースバーン,ジガルデ,ウーラオス悪,ナットレイ,カプ・レヒレ,テッカグヤ
バドレックス黒,サンダー電,ウーラオス悪,エースバーン,ゴリランダー,ドサイドン
ディアルガ,ファイヤー炎,ナットレイ,オーロンゲ,ウーラオス悪,クレセリア
ホウオウ,ランドロス霊,バンギラス,カプ・レヒレ,ナットレイ,ウーラオス悪
ラグラージ,バドレックス黒,サンダー電,バンギラス,ウーラオス悪,ミミッキュ
ゼルネアス,クレッフィ,ランドロス霊,ランクルス,ウーラオス悪,サンダー電
バドレックス黒,マリルリ,ヒードラン,ランドロス霊,サンダー電,ウーラオス悪
キュレム黒,サンダー電,ウーラオス悪,ドリュウズ,ヌオー,カバルドン
カイオーガ,サンダー電,エースバーン,ウーラオス悪,ナットレイ,ドサイドン
カイオーガ,サンダー電,ヒヒダルマ氷,ランドロス霊,エースバーン,ウーラオス悪
ムゲンダイナ,ポリゴン２,カバルドン,エースバーン,ウーラオス悪,ヒヒダルマ氷
ザシアン,ラグラージ,サンダー電,ウーラオス悪,エースバーン,ドラパルト
グラードン,リザードン,エースバーン,ミミッキュ,ウーラオス悪,ラティアス
カイオーガ,クレセリア,ウーラオス悪,サンダー電,ナットレイ,ドリュウズ
バドレックス黒,カバルドン,ウーラオス悪,ファイヤー炎,マリルリ,ポリゴン２
ウーラオス悪,ムゲンダイナ,ドータクン,ポリゴンＺ,ヌオー,サンダー電
ゼルネアス,サンダー電,ウーラオス悪,ヒードラン,ドラパルト,メタモン
バドレックス白,シャンデラ,カプ・レヒレ,ナットレイ,ウーラオス悪,カイリュー
ホウオウ,ランドロス霊,サンダー電,ウーラオス悪,ポリゴン２,トリトドン
ラプラス,サンダー電,バンギラス,ウーラオス悪,ヌオー,ザシアン
ディアルガ,ウーラオス悪,サンダー電,ヒヒダルマ氷,ドリュウズ,カプ・レヒレ
エースバーン,サンダー電,バドレックス黒,ウーラオス悪,ドサイドン,カプ・レヒレ
レシラム,カプ・テテフ,ファイヤー悪,ミミッキュ,ウーラオス悪,カバルドン
キュレム黒,ミミッキュ,ウーラオス悪,ランドロス霊,バシャーモ,オーロンゲ
カバルドン,エースバーン,ウーラオス悪,サンダー電,ラプラス,ザシアン
バドレックス黒,ウーラオス悪,サンダー電,マリルリ,サンドパン氷鋼,ナックラー
マリルリ,ゼルネアス,ドリュウズ,ウーラオス悪,ロトム水,メタモン
サンダー電,ザシアン,ウーラオス悪,ガマゲロゲ,ヒードラン,ヒヒダルマ氷
カプ・レヒレ,ボルトロス化,ザシアン,トリトドン,エースバーン,ウーラオス悪
ザシアン,ミミッキュ,ウーラオス悪,ロトム水,ランドロス霊,ヒードラン
ネクロズマ日,サンダー電,カプ・レヒレ,ポリゴン２,ウーラオス悪,ドラパルト
ザシアン,カバルドン,ウーラオス悪,ドラパルト,サンダー電,ポリゴン２
カイオーガ,サンダー電,ドラパルト,ウーラオス悪,エースバーン,ヒヒダルマ氷
カバルドン,ザシアン,サンダー電,ラプラス,ウーラオス悪,カビゴン
ムゲンダイナ,テッカグヤ,サンダー電,ラッキー,ウーラオス悪,メタモン
リザードン,コータス,ザシアン,ラプラス,ヌオー,ウーラオス悪
バドレックス黒,カプ・レヒレ,サンダー電,ドサイドン,ナットレイ,ウーラオス悪
バドレックス黒,カバルドン,エースバーン,ウオノラゴン,ウーラオス悪,ドリュウズ
バシャーモ,カイオーガ,ナットレイ,サンダー電,ウーラオス悪,ランドロス霊
